,character,episode,line,season,show,characters_spoken,words_spoken
2294,Mr. Krabs,24," I knew you'd come around, boy. Make something nice.",2,SpongeBob SquarePants,52,9
2295,Squidward,24, Why can't I just buy something for the little weirdo?,2,SpongeBob SquarePants,54,10
2297,Squidward,24," Hi, there. Those homemade pies sure look good.",2,SpongeBob SquarePants,47,8
2299,Squidward,24," Oh, well, that's too bad. I thought they were pies and I wanted to buy one. ",2,SpongeBob SquarePants,77,16
2301,Squidward,24," So, what flavor is it?",2,SpongeBob SquarePants,23,5
2303,Squidward,24," Well, if it'll get old man Mr. Krabs off my back.  Okay, here it is, Mr. Krabs, fresh from the oven. I'll be returning to my life now.",2,SpongeBob SquarePants,135,28
2304,Mr. Krabs,24," Not yet. I got to make sure you did it right.  Wait a second... this would go great with some milk!  So, you tried to kill me over a little new aged management, eh?",2,SpongeBob SquarePants,165,34
2305,Squidward,24," But, Mr. Krabs, I had no idea. I can explain! ",2,SpongeBob SquarePants,47,10
2306,SpongeBob,24," Mr. Krabs, are you okay? I heard a... wow! A pie!  It's from Squidward.  ""To SpongeBob... Well, here you go.""",2,SpongeBob SquarePants,110,20
2307,Squidward,24, And that's what happened.,2,SpongeBob SquarePants,26,4
2308,Mr. Krabs,24, 25 dollars? A bomb?,2,SpongeBob SquarePants,20,4
2310,Mr. Krabs,24, That's where you left it.,2,SpongeBob SquarePants,26,5
2311,Squidward,24, It's not there.,2,SpongeBob SquarePants,16,3
2312,SpongeBob,24," Hey guys.  Thanks for the pie, Squidward.  La, la, lalalalalala. ",2,SpongeBob SquarePants,66,10
2313,Mr. Krabs,24, You had to kill him. The boy cries you a sweater of tears and you kill him. How are you gonna live with yourself?,2,SpongeBob SquarePants,114,24
2314,Squidward,24, Kill him? ,2,SpongeBob SquarePants,11,2
2315,SpongeBob,24," Here's your order, sir.",2,SpongeBob SquarePants,24,4
2317,Squidward,24," No, no! What we got... we got to call the hospital!",2,SpongeBob SquarePants,52,11
2318,Mr. Krabs,24," Won't do any good. I've seen this before. When that pie goes up to bat, I mean, hits his lower intestine... boom!",2,SpongeBob SquarePants,114,22
2319,Squidward,24, You've seen this before?,2,SpongeBob SquarePants,25,4
2320,Mr. Krabs,24, Eleven times as a matter of fact. ,2,SpongeBob SquarePants,35,7
2321,Squidward,24," Yes, hello, doctor? Hospital? It won't do any good? Eleven times?  Oh, he's a goner. How do we tell him? ",2,SpongeBob SquarePants,106,20
2322,Mr. Krabs,24," Don't tell him. That'll only make him feel worse. The way I see it, he's only got till sunset. Why ruin his last day on earth? The lad deserves to enjoy his final hours. ",2,SpongeBob SquarePants,171,34
2323,Squidward,24,"  You're right, Mr. Krabs!  I'm gonna make SpongeBob's final hours the best he's ever had. And this time, there's going to be love... so much, he's going to drown in it.  Drown in it! ",2,SpongeBob SquarePants,184,34
2324,Squidward,24," Uh, SpongeBob?",2,SpongeBob SquarePants,15,2
2325,SpongeBob,24,  Yes?,2,SpongeBob SquarePants,6,1
2326,Squidward,24," I forgot to tell you, there's a part two to your gift.",2,SpongeBob SquarePants,55,12
2327,SpongeBob,24," Part two?  Part two, part two, part two, part two... ",2,SpongeBob SquarePants,54,10
2328,Squidward,24," Please, don't do that.",2,SpongeBob SquarePants,23,4
2329,SpongeBob,24, What's the part two?,2,SpongeBob SquarePants,21,4
2330,Squidward,24," Well, what's the most fun thing you can think of? ",2,SpongeBob SquarePants,51,10
2331,SpongeBob,24," Actually, I keep a list of the fun things I like to do. I call it my friendship list.",2,SpongeBob SquarePants,86,19
2332,Squidward,24," Great. Uh, let me see it. ",2,SpongeBob SquarePants,27,6
2333,SpongeBob,24," The things that are extra fun, I've written in red.",2,SpongeBob SquarePants,52,10
2334,Squidward,24, Everything's in red.,2,SpongeBob SquarePants,21,3
2335,SpongeBob,24," Yeah, I know.",2,SpongeBob SquarePants,14,3
2336,Squidward,24, We'd better start now if we want to get through this list before you die... of anticipation.,2,SpongeBob SquarePants,93,17
2337,SpongeBob,24," Then let's roll!  Bye, Mr. Krabs.  Heads up, Squidward—looks like they're gonna replace you.",2,SpongeBob SquarePants,95,14
2338,Squidward,24," Uh, yeah. Let's take a look at that list.",2,SpongeBob SquarePants,42,9
2339,SpongeBob,24," Well, the first thing I want to do is show my best friend Squidward to everybody in town.  Hi, there, this is my best friend, Squidward.  Hey, kids, check it out! This is my best friend, Squidward.  Hi, I want to show you my best friend, Squidward.",2,SpongeBob SquarePants,249,47
2340,Squidward,24," Hey, Frank.  Glad that's over.",2,SpongeBob SquarePants,31,5
2341,SpongeBob,24," Good, cause we're onto our next activity.",2,SpongeBob SquarePants,42,7
2342,Squidward,24, Which is...?,2,SpongeBob SquarePants,13,2
2343,SpongeBob,24, I'm going to show my best friend Squidward to everybody in town wearing a salmon suit.,2,SpongeBob SquarePants,87,16
2344,Squidward,24, You're going to be wearing a salmon suit?,2,SpongeBob SquarePants,42,8
2345,SpongeBob,24,"  That's a good one Squidward.  Next.  Knock-knock jokes! Hey Squid, knock-knock.",2,SpongeBob SquarePants,81,11
2346,Squidward,24, Who's there?,2,SpongeBob SquarePants,13,2
2347,SpongeBob,24, I am! ,2,SpongeBob SquarePants,7,2
2348,Squidward,24,"  Oh, yeah... ",2,SpongeBob SquarePants,14,2
2349,SpongeBob,24,"  Look out, everyone, friends in reverse! ",2,SpongeBob SquarePants,42,6
2350,SpongeBob,24," Turn left, and... stop. See, that's what it would be like if you had me for a face.",2,SpongeBob SquarePants,84,18
2351,Squidward,24,   I can't breathe. ,2,SpongeBob SquarePants,20,3
2352,Squidward,24, Are you sure you should be poking it like that?,2,SpongeBob SquarePants,48,10
2353,SpongeBob,24, Who's the doctor here?  The last thing on the list is...,2,SpongeBob SquarePants,57,11
2354,Squidward,24,  Does it involve more dismemberment?,2,SpongeBob SquarePants,37,5
2355,SpongeBob,24, Watch the sunset with Squidward.,2,SpongeBob SquarePants,33,5
2356,Squidward,24, Sunset? ,2,SpongeBob SquarePants,9,1
2357,Mr. Krabs,24," The way I see it, the lad's got until sunset before that bomb hits his lower intestine.",2,SpongeBob SquarePants,88,17
2358,SpongeBob,24," Hey, it's Mr. Krabs! Hi, Mr. Krabs.  Okay, see you later.",2,SpongeBob SquarePants,58,11
2359,Squidward,24," C'mon buddy, you want a sunset, you'll get a sunset.",2,SpongeBob SquarePants,53,10
2360,SpongeBob,24," Ah, underwater sunsets sure are beautiful. Eh, Squidward?",2,SpongeBob SquarePants,58,8
2361,Squidward,24, Yeah.,2,SpongeBob SquarePants,6,1
2362,SpongeBob,24," Yeah, this is great, just the three of us. You, me,  ...and this brick wall that you built between us.",2,SpongeBob SquarePants,103,20
2363,Squidward,24, Yeah. ,2,SpongeBob SquarePants,7,1
2364,SpongeBob,24," Sunsets always remind me of bowls of fruit. What do they make you think of, Squidward? ",2,SpongeBob SquarePants,88,16
2365,Squidward,24," Explosions... I mean, erosion. ",2,SpongeBob SquarePants,32,4
2366,SpongeBob,24," You know, if I were to die right now in some sort of fiery explosion due to the carelessness of a friend, well, that would just be okay.  Wow, it feels like something just dropped into my lower intestine.  Hey, smells like cherry. Or maybe grape. Blueberry?  Here it is, the sunset! I always love to count it down. Five... You do the rest, buddy.",2,SpongeBob SquarePants,347,65
2367,Squidward,24, Four... three... two... one... ,2,SpongeBob SquarePants,32,4
2368,SpongeBob,24, I guess we started too early. Let's start again.,2,SpongeBob SquarePants,49,9
2369,Squidward,24," Five... four... three...  two...  o-o-o-one... Well, at least I was able to make his last few hours meaningful.  I am such a good person. ",2,SpongeBob SquarePants,139,24
2370,SpongeBob,24," Hey, Squidward, check this out!  Squidward, we already played babble like an idiot.",2,SpongeBob SquarePants,84,13
2371,Squidward,24, Why are you still here?,2,SpongeBob SquarePants,24,5
2372,SpongeBob,24," Well, since we finished everything on the list, I thought I'd make up a new one.  I already filled up this book of ideas. We should be able to finish by January.",2,SpongeBob SquarePants,162,32
2373,Squidward,24,"  Forget the book! I spent the whole day with you, doing all kinds of ridiculous things, because you were supposed to explode!",2,SpongeBob SquarePants,126,22
2374,SpongeBob,24, You want me to explode?,2,SpongeBob SquarePants,24,5
2375,Squidward,24, Yes! That's what I've been waiting for!,2,SpongeBob SquarePants,40,7
2376,SpongeBob,24," Um, okay, I'll try.  Gary! You are gonna finish your dessert and you are gonna like it!  Now it's your turn.",2,SpongeBob SquarePants,109,21
2377,Squidward,24,"  That's not what I meant, you barnacle head!",2,SpongeBob SquarePants,45,8
2378,SpongeBob,24," Oh, good one.",2,SpongeBob SquarePants,14,3
2379,Squidward,24, No! You were supposed to explode into a million pieces! ,2,SpongeBob SquarePants,57,10
2380,SpongeBob,24, Why would I do that?,2,SpongeBob SquarePants,21,5
2381,Squidward,24, Because the pie you ate was a bomb!,2,SpongeBob SquarePants,36,8
2382,SpongeBob,24, What pie?,2,SpongeBob SquarePants,10,2
2383,Squidward,24," The one that I left sitting on the counter this morning that I bought from pirates for 25 bucks and I didn't know it was a bomb, and you ate it... th... that pie!",2,SpongeBob SquarePants,163,34
2384,SpongeBob,24," Pie...pie...  Oh, you mean this pie! I was saving it in my pocket for us to share. Let's eat!  Oops! ",2,SpongeBob SquarePants,102,20
2385,Squidward,24,  Ouch. ,2,SpongeBob SquarePants,8,1
2393,Patrick,25, Pet-sitting? Won't that hurt them? ,2,SpongeBob SquarePants,36,5
2395,SpongeBob,25," Gee, Patrick, I didn't know you spoke bird.",2,SpongeBob SquarePants,44,8
2396,Patrick,25," No, that's Italian, SpongeBob. ",2,SpongeBob SquarePants,32,4
2397,Sandy,25," Okay boys, this here is Birdy's food. Feed him twice a day.",2,SpongeBob SquarePants,60,12
2398,SpongeBob,25, This whole sack?,2,SpongeBob SquarePants,17,3
2399,Sandy,25," No, just a cup's worth.  This here's my cricket.  He's saying hello to you. Ain't he cute?",2,SpongeBob SquarePants,91,17
2400,SpongeBob,25," Sorry, but I don't speak Italian.",2,SpongeBob SquarePants,34,6
2401,Sandy,25, And this here's Snakey. ,2,SpongeBob SquarePants,25,4
2402,SpongeBob,25, What's that lump in its belly?,2,SpongeBob SquarePants,31,6
2403,Sandy,25," Well, that's his dinner.  Well, I guess that's it. I gotta go.  See you guys in a couple of days.",2,SpongeBob SquarePants,98,20
2405,SpongeBob,25,  Wait! You forgot about this pet!,2,SpongeBob SquarePants,34,6
2406,Sandy,25," Oh, that's only Wormy. He don't eat much. ",2,SpongeBob SquarePants,43,8
2407,SpongeBob,25," Look at him Patrick, isn't he great? Hey, little fella.",2,SpongeBob SquarePants,56,10
2408,Patrick,25," Kitchie-kitchie koo, koo.",2,SpongeBob SquarePants,26,3
2409,SpongeBob,25," Aw look, isn't he just precious? Let's take him out to play.  998... 999... 1000. Ready or not, here I come! ",2,SpongeBob SquarePants,110,21
2410,Patrick,25, You found me! ,2,SpongeBob SquarePants,15,3
2412,Patrick,25," Gee, SpongeBob, I don't want today to end ever.",2,SpongeBob SquarePants,48,9
2413,SpongeBob,25," I know Patrick, days like today only come once, maybe twice in a lifetime. Savor every moment. And it's all thanks to Wormy. I made this for Wormy.  Our new best friend.  Until tomorrow, new best friend. Don't be sad, little buddy, we'll be back first thing in the morning for frolic and fun.",2,SpongeBob SquarePants,293,54
2414,Patrick,25," Why must the sun set on this perfect day? Sleep well, Wormy. ",2,SpongeBob SquarePants,62,12
2415,SpongeBob,25," Aw, don't be sad, Patrick. It's only until tomorrow.",2,SpongeBob SquarePants,53,9
2416,Patrick,25, Me too!  And then we're gonna play tag and then we're gonna color and then we're gonna build a house of cards!,2,SpongeBob SquarePants,111,22
2418,Patrick,25, Wormy? Where's Wormy? What's that thing?,2,SpongeBob SquarePants,41,6
2419,SpongeBob,25, He's gotta be in here.  I think something bad happened to Wormy. ,2,SpongeBob SquarePants,66,12
2420,Patrick,25," He left his ""Best Friend"" ribbon behind! ",2,SpongeBob SquarePants,42,7
2421,Patrick,25, What is that thing?,2,SpongeBob SquarePants,20,4
2422,SpongeBob,25," I don't know, Patrick. But whatever it is...it must've eaten Wormy!",2,SpongeBob SquarePants,68,11
2423,Patrick,25,  Why does this keep happening to me?!,2,SpongeBob SquarePants,38,7
2424,SpongeBob,25," Quick, Patrick! We need to make a run for the door!  Noo! Patrick, he's blocking our only exit! ",2,SpongeBob SquarePants,97,18
2425,Patrick,25," Now what? We're trapped in here with that...that--""Best Friend Eater.""",2,SpongeBob SquarePants,71,10
2426,SpongeBob,25," Let's not panic. We just have to stick together. Remember it's two against one. Right Patrick? Patrick?  He's eaten Patrick!  Patrick, you're alive!",2,SpongeBob SquarePants,149,23
2427,Patrick,25, I am?,2,SpongeBob SquarePants,6,2
2428,SpongeBob,25," Patrick, we can't leave this horrible monster in Sandy's house. It might eat Sandy's other pets!",2,SpongeBob SquarePants,97,16
2429,Patrick,25," Or worse, it might eat Sandy's pets.",2,SpongeBob SquarePants,37,7
2430,SpongeBob,25, No it might eat Sandy! We go to get it out of here!,2,SpongeBob SquarePants,52,13
2431,Patrick,25, It's for you! ,2,SpongeBob SquarePants,15,3
2432,SpongeBob,25, It's working. He's gonna answer it... ,2,SpongeBob SquarePants,39,6
2433,Patrick,25, Tartar sauce.,2,SpongeBob SquarePants,14,2
2434,SpongeBob,25, You look pretty appetizing Patrick. Now just stay here and wait for the monster. I'll go get the net. ,2,SpongeBob SquarePants,103,19
2435,Patrick,25,  SpongeBob! Hurry up with that net!,2,SpongeBob SquarePants,36,6
2436,SpongeBob,25, Hold on Patrick. ,2,SpongeBob SquarePants,18,3
2437,Patrick,25," I really don't taste that good, Mr. Monster. ",2,SpongeBob SquarePants,46,8
2438,SpongeBob,25," I'm coming, Patrick!  No, Mr. Monster, please don't eat me! No, no, no! Spare me, I don't taste good, no! No, no, please! Wait a second.  Yeah!  We did it, Patrick! Sandy's gonna be so proud of us. We got that horrible monster out of her house and best of all her pets are safe. 'Cause that horrible creature is now......heading straight for the Krusty Krab!  It's going in the front! Let's use the secret entrance. ",2,SpongeBob SquarePants,417,76
2439,Squidward,25, Okay hold still.,2,SpongeBob SquarePants,17,3
2440,Patrick,25, He's gonna eat Squidward and Mr. Krabs! ,2,SpongeBob SquarePants,41,7
2441,SpongeBob,25," Hit the deck, Mr. Krabs!",2,SpongeBob SquarePants,25,5
2442,Squidward,25," Say ""money.""",2,SpongeBob SquarePants,13,2
2443,Mr. Krabs,25," ""Money!"" ",2,SpongeBob SquarePants,10,1
2444,Mr. Krabs,25," What's the meaning of this, SpongeBob?!",2,SpongeBob SquarePants,40,6
2445,SpongeBob,25, We're in serious danger. There's a-a-a...a monster out there.,2,SpongeBob SquarePants,62,9
2446,Mr. Krabs,25, Is he a paying customer?,2,SpongeBob SquarePants,25,5
2447,SpongeBob,25," Oh no, Mr. Krabs. It doesn't want to eat Krabby Patties. It wants to eat YOU!",2,SpongeBob SquarePants,78,16
2448,Patrick,25,  Just like it ate Wormy!,2,SpongeBob SquarePants,25,5
2449,Squidward,25," Um, Wormy? ",2,SpongeBob SquarePants,12,2
2450,SpongeBob,25, Why? Why? He was so young.,2,SpongeBob SquarePants,27,6
2451,Patrick,25," I'll never forget you, Wormy.",2,SpongeBob SquarePants,30,5
2452,Squidward,25," Well, if Moron Theater's over, I'm just going to take a look at this monster.  That's the monster?",2,SpongeBob SquarePants,99,18
2453,Patrick,25," Pretty scary, huh?",2,SpongeBob SquarePants,19,3
2454,SpongeBob,25, A living nightmare!,2,SpongeBob SquarePants,20,3
2455,Squidward,25," I should have known.  Well, that's it. I'm getting off the Looney Express.",2,SpongeBob SquarePants,75,13
2456,Mr. Krabs,25, Now just 'cause you swabs haven't seen a creature like this doesn't mean it's dangerous.,2,SpongeBob SquarePants,89,15
2457,SpongeBob,25, We tried to warn them. I can't watch. ,2,SpongeBob SquarePants,39,8
2458,Squidward,25, Get a load of the scary monster.  Monster.,2,SpongeBob SquarePants,43,8
2459,Mr. Krabs,25," Aw, it looks harmless.",2,SpongeBob SquarePants,23,4
2460,Squidward,25, It's kinda cute.,2,SpongeBob SquarePants,17,3
2461,Mr. Krabs,25, It reminds me of money.,2,SpongeBob SquarePants,24,5
2462,Squidward,25, Monster. ,2,SpongeBob SquarePants,10,1
2463,SpongeBob,25, Squidward?,2,SpongeBob SquarePants,11,1
2464,Patrick,25, Mr. Krabs? ,2,SpongeBob SquarePants,12,2
2465,SpongeBob,25,"  It ate them! And there it goes!  First Wormy, then Squidward, Mr. Krabs!  That flying monster has eaten three friends too many. We must warn the citizens! Evil has surfaced. The fate of Bikini Bottom is in our hands, Patrick. Now let's roll.",2,SpongeBob SquarePants,243,43
2466,Patrick,25," Aye-aye, captain. ",2,SpongeBob SquarePants,19,2
2467,SpongeBob,25," Okay, Patrick, now this is a very delicate situation. It must be treated with great care and sensitivity.",2,SpongeBob SquarePants,106,18
2468,Patrick,25, Gotcha.,2,SpongeBob SquarePants,8,1
2469,SpongeBob,25," Run, everybody, run!",2,SpongeBob SquarePants,21,3
2470,Patrick,25, Monster on the loose!,2,SpongeBob SquarePants,22,4
2471,SpongeBob,25, Monster! ,2,SpongeBob SquarePants,10,1
2472,Patrick,25,"  Attention, Bikini Bottom! There's a flying monster that's going to eat you! ",2,SpongeBob SquarePants,78,12
2474,SpongeBob,25, We did it Patrick! We saved the city.  Just think what might of happened if we didn't tell everyone about the monster.,2,SpongeBob SquarePants,119,22
2475,Patrick,25, About the what? ,2,SpongeBob SquarePants,17,3
2476,Sandy,25," Shoot! Looks like a twister hit this place. Where is everybody?  Oh, hey there Wormy.  You weren't supposed to change till I got back. That oughta hold ya, little guy.  Howdy, SpongeBob.",2,SpongeBob SquarePants,187,32
2477,SpongeBob,25, Sandy caught the monster! ,2,SpongeBob SquarePants,27,4
2478,Sandy,25," I didn't know I'd be missed so much. Golly, maybe I should go out of town more often.",2,SpongeBob SquarePants,86,18
2485,SpongeBob,26," There it is! Grandma's house! What wonders await me today? Fresh-baked cookies? Story time? A sweater with love in every stitch? Aw, what am I waiting for?  Grandma, Grandma, Grandma!",2,SpongeBob SquarePants,184,30
2487,SpongeBob,26," Hi, Grandma! ",2,SpongeBob SquarePants,14,2
2489,SpongeBob,26," Grandma, you make the best cookies in the deep blue sea.  Oh yeah...  Grandma's cookies...",2,SpongeBob SquarePants,91,15
2491,SpongeBob,26," Me, me, me! ",2,SpongeBob SquarePants,13,3
2493,SpongeBob,26, Tell me another story about when I was a baby.  Three o'clock? I'm gonna be late for work!,2,SpongeBob SquarePants,91,18
2495,SpongeBob,26," Thanks, Grandma! ",2,SpongeBob SquarePants,18,2
2497,SpongeBob,26," I sure did.  Bye, Grandma, thanks for the ride.  Thank you, Squidward.  Isn't this great? Everybody's in a good mood today.",2,SpongeBob SquarePants,124,21
2498,Squidward,26," I love bursting your bubble, SpongeBob, but they're laughing at you, not with you.",2,SpongeBob SquarePants,83,14
2499,SpongeBob,26, Did I do something funny?,2,SpongeBob SquarePants,26,5
2500,Squidward,26, Your forehead. ,2,SpongeBob SquarePants,16,2
2501,SpongeBob,26, My forehead is funny?,2,SpongeBob SquarePants,22,4
2503,SpongeBob,26," No, you're wrong! There's nothing wrong with getting kisses from your grandma.",2,SpongeBob SquarePants,79,12
2506,Squidward,26," Cheer up, SpongeBob. I know someone who still likes you.",2,SpongeBob SquarePants,57,10
2507,SpongeBob,26," Really? You do, Squidward?",2,SpongeBob SquarePants,27,4
2508,Squidward,26," Yeah, your grandma! ",2,SpongeBob SquarePants,21,3
2509,SpongeBob,26, Stop it...!  I have been publicly humiliated for the last time! ,2,SpongeBob SquarePants,65,11
2510,Patrick,26," I'm sorry that happened to you, SpongeBob.",2,SpongeBob SquarePants,43,7
2511,SpongeBob,26," Me, too.",2,SpongeBob SquarePants,9,2
2512,Patrick,26, You're the most adult person I know.,2,SpongeBob SquarePants,37,7
2513,SpongeBob,26," Thanks, Patrick.",2,SpongeBob SquarePants,17,2
2514,Patrick,26," You know how grandmas are, they love babies. You just can't act like a baby around her.",2,SpongeBob SquarePants,88,17
2515,SpongeBob,26," You're right, Patrick.",2,SpongeBob SquarePants,23,3
2516,Patrick,26," Have I ever not been right?  You're a man now, SpongeBob, and it's time you starting acting like one.",2,SpongeBob SquarePants,102,19
2517,SpongeBob,26," Yeah! Oh, but I'm not sure I know how.",2,SpongeBob SquarePants,39,9
2518,Patrick,26," Allow me to demonstrate. First, puff out your chest.  Now say ""tax exemption.""",2,SpongeBob SquarePants,79,13
2519,SpongeBob,26, Tax exemption.,2,SpongeBob SquarePants,15,2
2520,Patrick,26," Now, you must acquire a taste for free-form jazz.  Okay, SpongeBob, you're ready!  This is it. What are you going to tell Grandma?",2,SpongeBob SquarePants,131,23
2521,SpongeBob,26, I'm a grownup.,2,SpongeBob SquarePants,15,3
2522,Patrick,26," No ifs, ands, or buts about it.",2,SpongeBob SquarePants,32,7
2523,SpongeBob,26, A man's gotta do what a man's gotta do.,2,SpongeBob SquarePants,40,9
2524,Patrick,26, And then you get behind her and I'll push.,2,SpongeBob SquarePants,43,9
2525,SpongeBob,26," Patrick, we didn't say that.",2,SpongeBob SquarePants,29,5
2526,Patrick,26," Oh yeah, right.",2,SpongeBob SquarePants,16,3
2527,SpongeBob,26, All we need now is the icing on the maturity cake.  I've been growing these babies for years. ,2,SpongeBob SquarePants,95,18
2530,SpongeBob,26,"  Sorry, grandmother, but the kissing has to stop.",2,SpongeBob SquarePants,50,8
2531,Patrick,26," Tell her like it is, SpongeBob, no more baby stuff.",2,SpongeBob SquarePants,52,10
2532,SpongeBob,26," He is right, Grandmother. Kisses are for babies, which I am no longer. I have grown up. It is nature's way.",2,SpongeBob SquarePants,108,21
2534,SpongeBob,26," I am? I mean, of course I am.",2,SpongeBob SquarePants,30,8
2536,SpongeBob,26," I am glad you see it my way, grandmother. ",2,SpongeBob SquarePants,43,9
2538,SpongeBob,26,"  Sorry, grandmother, we adults don't partake in the consumption of sweets, right, Pat...  ...rick? ",2,SpongeBob SquarePants,100,14
2539,Patrick,26," Keep 'em coming, Granny! ",2,SpongeBob SquarePants,26,4
2540,SpongeBob,26, So much for no more baby stuff.,2,SpongeBob SquarePants,32,7
2542,SpongeBob,26," Hey, that's my cookie-eating hat! I mean it was when I was a baby. ",2,SpongeBob SquarePants,68,14
2544,SpongeBob,26," Grandmother, I need to have a mature conversation with Mr. Patrick.   Patrick, what do you think you're doing? Cookies? Warm milk? A bib?  Is that a kissy mark on your forehead? We are supposed to be adults! ",2,SpongeBob SquarePants,209,37
2546,Patrick,26," I'm the baby, I'm the baby, I'm the baby!  Being grown up is boring. I love being a baby. Besides, I don't get jazz.",2,SpongeBob SquarePants,117,24
2547,SpongeBob,26,  Poor Patrick. I almost feel sorry for you.  Trapped in the awkward phase of diaper days... never to know the rich rewards of being a grownup. ,2,SpongeBob SquarePants,144,26
2549,Patrick,26," All right!  Rewards, huh?",2,SpongeBob SquarePants,26,4
2550,SpongeBob,26," Well, yeah, there's, eh...  well, let's see, we...  We went over the jazz... ",2,SpongeBob SquarePants,78,13
2551,Patrick,26," Oh, Grandma, I'm full. ",2,SpongeBob SquarePants,24,4
2553,SpongeBob,26, It appears to be my lunch hour. Grownups have to eat to. I guess this will have to do. ,2,SpongeBob SquarePants,88,19
2555,SpongeBob,26," Oh yeah, uh... great.  Nutritious.",2,SpongeBob SquarePants,35,5
2557,Patrick,26," Oh boy! Storytime, storytime, storytime!",2,SpongeBob SquarePants,41,5
2558,SpongeBob,26, Storytime? ,2,SpongeBob SquarePants,12,1
2560,SpongeBob,26," Oh, uh... great. Yeah.  Fascinating. No pictures, just the way I like it. ",2,SpongeBob SquarePants,75,13
2561,Patrick,26,  D'oh! My wittle finger! ,2,SpongeBob SquarePants,26,4
2563,Patrick,26,  Sorta....  this finger hurts a little bit too. ,2,SpongeBob SquarePants,49,8
2565,Patrick,26," Oh, boy, I hope it's cookies!  Alright, another hat.",2,SpongeBob SquarePants,53,9
2567,SpongeBob,26, Huh?,2,SpongeBob SquarePants,5,1
2569,SpongeBob,26," No...  Don't I get a present, Grandma?",2,SpongeBob SquarePants,39,7
2571,SpongeBob,26," Uh, I don't need to leave yet. I can be late for work.",2,SpongeBob SquarePants,55,13
2573,SpongeBob,26," Alright, I guess I'll be going. I've, uh, got a lot of adult-type business to take care of, so, uh, I'll see yah later.",2,SpongeBob SquarePants,120,24
2575,SpongeBob,26," Yep, that is it. Here I go.",2,SpongeBob SquarePants,28,7
2577,SpongeBob,26," Out into the cold, grown-up world alone without a sweater.",2,SpongeBob SquarePants,59,10
2579,SpongeBob,26, I don't know when I'll be back.,2,SpongeBob SquarePants,32,7
2581,SpongeBob,26," So, uh... that's it. ",2,SpongeBob SquarePants,22,4
2583,SpongeBob,26," Soo long...  I don't wanna grow up!  I want cookies!  and ""milkie""!  I want a sweater with love in the stitches!  I wanna wear ""diadies""!  I wanna ride in my wagon!  I wanna cuddle-wuddle with Mister Stuffykins!  I wanna rocky-rock on my seahorsey!  And I want kissy-kissy on my boo-boo! ",2,SpongeBob SquarePants,289,50
2585,SpongeBob,26,  I don't?,2,SpongeBob SquarePants,10,2
2587,SpongeBob,26," Thanks, Grandma.  Uh, Grandma, could you not mention this to the guys down at the Krusty Krab?",2,SpongeBob SquarePants,95,17
2595,Sandy,27," There we go!  SpongeBob, I got all the leaves ra...  SpongeBob, what are all these leaves doing here? You said you were going to rake them!",2,SpongeBob SquarePants,140,26
2596,SpongeBob,27,  I am raking the leaves.,2,SpongeBob SquarePants,25,5
2597,Sandy,27, But they're still all over the ground!,2,SpongeBob SquarePants,39,7
2598,SpongeBob,27," Sandy, I can't rake any faster.  These are big leaves.  And they keep breaking into more leaves.  Then go scrape the salt lick or somethin'! We got to get this stuff done before it's too late! What's the big rush anyway, Sandy?",2,SpongeBob SquarePants,228,42
2599,Sandy,27,"  I told ya, SpongeBob...  I'm hibernating next week.",2,SpongeBob SquarePants,53,8
2600,SpongeBob,27, Hibernating? What's that?,2,SpongeBob SquarePants,26,3
2601,Sandy,27,  It's when I go to sleep for the whole winter.,2,SpongeBob SquarePants,47,10
2602,SpongeBob,27, Can I do that?,2,SpongeBob SquarePants,15,4
2603,Sandy,27,"  No, silly. It's a mammalian thing. ",2,SpongeBob SquarePants,37,6
2604,SpongeBob,27," Sandy, you may not have noticed, but I is 100% ma-male.",2,SpongeBob SquarePants,56,11
2605,Sandy,27,"  Enough chitter-chatter, SpongeBob. We don't have much time left!",2,SpongeBob SquarePants,66,9
2606,SpongeBob,27," Why, Sandy? When does your... ""carburation"" begin? ",2,SpongeBob SquarePants,52,7
2607,Sandy,27, In one week!,2,SpongeBob SquarePants,13,3
2608,SpongeBob,27," But Sandy, that only gives us 1, 2, 3...  168 more hours of playtime!",2,SpongeBob SquarePants,70,14
2609,Sandy,27, You're telling me. And there's still so much stuff to do! We gotta climb some things!,2,SpongeBob SquarePants,86,16
2610,SpongeBob,27, Climb!,2,SpongeBob SquarePants,7,1
2611,Sandy,27, We gotta jump off of stuff!,2,SpongeBob SquarePants,28,6
2612,SpongeBob,27, Jump!,2,SpongeBob SquarePants,6,1
2613,Sandy,27, We gotta ride!,2,SpongeBob SquarePants,15,3
2614,SpongeBob,27, Ride!,2,SpongeBob SquarePants,6,1
2615,Sandy,27, I don't wanna go to sleep yet!,2,SpongeBob SquarePants,31,7
2616,SpongeBob,27, Wait Sandy! ,2,SpongeBob SquarePants,13,2
2617,Sandy,27, I can't burn carbs in my sleep!,2,SpongeBob SquarePants,32,7
2618,SpongeBob,27, Sandy?,2,SpongeBob SquarePants,7,1
2619,Sandy,27, What?!,2,SpongeBob SquarePants,7,1
2620,SpongeBob,27," Sandy, I'm willing to sacrifice any of my time that I haven't already sold to Mr. Krabs to you. ",2,SpongeBob SquarePants,97,19
