,character,episode,line,season
3071,SpongeBob,32," Me either. Who wants to get all dirty anyway?
",2
3072,Sandy,32," Yeah. And sweaty. Besides, I think we'd all know who'd get to the top first.
",2
3073,SpongeBob,32," Yeah.
",2
3074,SpongeBob and Sandy,32," [both laugh] Me.
",2
3075,SpongeBob,32," That's funny, Sandy. That sounded like you said you could beat me at a climbing contest.
",2
3076,Sandy,32," Course I can! I'm a squirrel. See? [points to her acorn patch]
",2
3077,SpongeBob,32," I thought that meant you were nuts.
",2
3078,Sandy,32," Nope, that means I'm a natural born climber. I'm from the surface world, and nothing prepares you for climbing than growing up on good ol' dry land.
",2
3079,SpongeBob,32," [laughs] Land-shmand, it's all about finger strength, baby, and if there's anything we've got plenty of down here, it's finger strength! [his fingers flex] What do you think about that, ""Miss Mittens""?
",2
3080,Sandy,32," I'd say I'm already halfway there!
",2
3081,SpongeBob,32," Ahh! [begins to climb the mountain] Hey, no fair, Sandy! You got a head start!
",2
3082,Sandy,32," Sorry, SpongeBob, that's the way the coral crumbles! [collapses the rock SpongeBob is climbing on]
",2
3083,SpongeBob,32," Hey! [gets back on another rock] You did that on purpose!
",2
3084,Sandy,32," Yeah, but this is an accident! [unleashes more rocks at him]
",2
3085,SpongeBob,32," [screams] Aaaaah!
",2
3086,Sandy,32," Too bad you forgot your umbrella!
",2
3087,SpongeBob,32," [holds on to an umbrella and floats up] I didn't! [laughing, reaches the top of the cliff]
",2
3088,Sandy,32," [sitting in a lounge chair, reading a newspaper] Well. It's about time you showed up.
",2
3089,SpongeBob,32," [gibberish] I want a rematch! First one to the Krusty Krab is the winner!
",2
3090,Sandy,32," Ain't no way a sea critter can run faster than a land critter.
",2
3091,SpongeBob,32," I can underwater! I'm... [Low voice] Hydrodynamically designed! [Normal voice] Think you can win a fair race in that clunky tin tube?
",2
3092,Sandy,32," Why don't use ask my behind! That is, if you can catch it! What do you think of that, HydroPants?
",2
3093,SpongeBob,32," I'd say I'm already halfway there!-halfway there! [zooms out to reveal a record player] -halfway there!-halfway there!.
",2
3094,Sandy,32," [gasps] Hey!
",2
3095,SpongeBob,32," [running at the bottom of the mountain, laughing, hits a brick wall]
",2
3096,Sandy,32," [jumps on SpongeBob's face and over the brick wall] Thanks for the face lift! [runs into the Krusty Krab, laughing] You see, I told you that you didn't-
",2
3097,SpongeBob,32," [dressed as an old man] There you are! Ain't that just like a land creature to keep a sea creature [licks lips] waiting! [rips off suit, laughing]
",2
3098,Sandy,32," I thought y'all wanted a rematch.
",2
3099,SpongeBob,32," I did! And I took a head start like you did!
",2
3100,Sandy,32," Well, I was just funning with you that time! But I guess all y'all underwater don't have to play fair!
",2
3101,SpongeBob,32," I guess I don't, air breather!
",2
3102,Sandy,32," Water sucker!
",2
3103,SpongeBob,32," Tree climber!
",2
3104,Sandy,32," Gulf streamer!
",2
3105,SpongeBob,32," Kite flier!
",2
3106,Sandy,32," Chum chewer!
",2
3107,SpongeBob,32," [gasps] Take that back! You- [nervously] not wet person!
",2
3108,Sandy,32," Aha! You can't even come up with another name! That proves it!
",2
3109,SpongeBob,32," Proves what?
",2
3110,Sandy,32," That land critters are better than sea critters!
",2
3111,Patrick,32," [walks to the two] Better at what?
",2
3112,Sandy Cheeks,32," Oh, dern near everything, I guess. Cattle roping and pie eating and wood chopping and flying!
",2
3113,Squidward,32," [walks to the three] What's she blabbering about?
",2
3114,Patrick,32," She says land creatures are best.
",2
3115,Sandy,32," Only 'cause it's true! We're best at horse riding and fur stylin' and rowing. Y'all got us licked in swimming, but we've got corn shucking [Mr. Krabs joins the four] and hay bailing and barn raising... and fishing!
",2
3116,Sandy,32," And name calling, for sure!
",2
3117,Squidward,32," And drowning, don't forget drowning!
",2
3118,SpongeBob,32," [laughing] Good one, Squidward! [jumps to high five Squidward, but freezes in midair] Woo!
",2
3119,Squidward,32," Not on your life, sport. [SpongeBob falls]
",2
3120,SpongeBob,32," I'll admit, you've got some pretty good moves. For a squirrel. [SpongeBob and the rest except Sandy start laughing until SpongeBob signals them to stop] But you're still just a land creature.
",2
3121,Sandy,32," Squirrels can do anything they want to!
",2
3122,Patrick,32," I bet they can't eat a Krabby Double Deluxe in one bite. [gulps a big patty down] Ah.
",2
3123,Sandy,32," [reaches offscreen for the same big patty] Give me that. They don't call me Cheeks for nothing. [tries to eat it, but it splatters on her air helmet. Everyone, but Sandy, begins to laugh]
",2
3124,Patrick,32," Thank you, thank you.
",2
3125,Sandy,32," Well, there's just one thing.
",2
3126,Mr. Krabs,32," Can you do this? [pops his eyestalks in and out of his head] Everyone in my family can do that.
",2
3127,Sandy,32," [Tries to do it] Uh...uh...
",2
3128,Squidward,32," How about this? [balances six spinning plates on a stick with his tentacles] Huh?
",2
3129,SpongeBob,32," Can you reproduce by budding. [begins to do it] Can ya? Can ya? Can ya? Can ya?
",2
3130,Sandy,32," No!
",2
3131,SpongeBob,32," Most importantly...can you do this? [all except Sandy make their eyes big and round, and begin gasping three times without releasing any breath]
",2
3132,Sandy,32," Well, what would I wanna do any of that dumb stuff for anyway?
",2
3133,SpongeBob,32," Admit it, Sandy, you can't do anything us sea creatures can do. In fact, if wasn't for that suit, you couldn't live down here! [everyone but Sandy starts laughing]
",2
3134,Sandy,32," Well, you know... [all continue laughing] I don't need to... [all laughing harder] Grr... I'll show ya all! I don't need this suit! [rips off suit, and all gasp] And I don't need this helmet neither! [throws helmet to ground, releasing an air bubble]
",2
3135,Mr. Krabs,32," Neptune preserve her!
",2
3136,Squidward,32," How long can she stay like that?
",2
3137,SpongeBob,32," I don't know!
",2
3138,Patrick,32," Sandy's a girl?
",2
3139,SpongeBob,32," Wow, Sandy. You sure proved us wrong. I guess land creatures are better. At least until they need to breathe... [Sandy winks] Yep, won't be long now. [she starts struggling to hold her breath] Feelin' light-headed yet?
",2
3140,Sandy,32," Mm-mm. [Sandy shakes her head]
",2
3141,SpongeBob,32," Remember this? [SpongeBob takes a deep breath in and out]
",2
3142,Mr. Krabs,32," It's free! [also takes a deep breath in and out]
",2
3143,Sandy,32," [Starts suffocating underwater, screen cuts to her insides and her right lung breaks and falls off, she looks around and quickly searches through multiple objects, then puts her head into a pickle jar and breathes heavily. All others start laughing] Stop laughing at me!
",2
3144,Mr. Krabs,32," I knew it! There was no way some ""airhead"" was gonna win anything against a water breather!
",2
3145,Patrick,32," Airhead... [laughs. The top of his head deflates like a balloon] Huh? [puts thumb in mouth and blows. His head becomes round at the top]
",2
3146,"SpongeBob, Patrick, Squidward and Mr. Krabs",32," Sea creatures rule! Water! Water! Water!
",2
3147,Sandy,32," All right, all right! You had your little laugh. But now it's my turn! Y'all think you're such hot stuff, don't ya! Swimming around with your fancy gills and such. But none of you wetheads could last a minute on my turf. Dry land!
",2
3148,Squidward,32," Do we have to wear pickle jars? [all, except Sandy, laugh]
",2
3149,Sandy,32," Nope, nothing but the clothes on your backs.
",2
3150,SpongeBob,32," One minute? No problem, Landy! [all but Sandy begin to laugh]
",2
3151,Sandy,32," [all but her are still laughing, as she leads them all to an island rising out of the water from the seafloor, as they see the island, they stop laughing] Well? So are you going or not?
",2
3152,SpongeBob,32," Actually, you know, but...
",2
3153,Squidward,32," We can't, uh...because...
",2
3154,Mr. Krabs,32," Well, um... we're late for our...
",2
3155,Patrick,32," Our fitting!
",2
3156,Sandy,32," Oh, you mean for your chicken costumes!
",2
3157,Patrick,32," [holding and eating popcorn] Hey! We are not chicken! [drops popcorn] Huh! My popcorn! [begins pecking at it like a chicken]
",2
3158,SpongeBob,32," Yeah, we're not chicken, we'll do it. [looks at the water's surface and pokes his finger above the water] There. Mission accomplished.
",2
3159,Sandy,32," Look. Unless you can stay above water for one measly minute, you forfeit the contest and prove that land creatures are better than sea creatures!
",2
3160,SpongeBob,32," No, way, San-day. We can take on your challenge!
",2
3161,"Patrick, Squidward and Mr. Krabs",32," Yeah!
",2
3162,SpongeBob,32," Where not afraid of your dumb old land!
",2
3163,"Patrick, Squidward and Mr. Krabs",32," Yeah!
",2
3164,SpongeBob,32," We're sea creatures!
",2
3165,"SpongeBob, Patrick, Squidward and Mr. Krabs",32," Yeah!
",2
3166,SpongeBob,32," Okay... Well, this is it.
",2
3167,Mr. Krabs,32," Wait, boy! [gives him a glass of water] Make it last.
",2
3168,SpongeBob,32," [drinks from it] Thanks Mr. Krabs Ok! Here I go! [gasps out of water, He's now a real yellow kitchen sponge on a stick] Hey, this isn't so bad. We can do this! Hey, Patrick, come on up! The air is fine!
",2
3169,Patrick,32," I'm gonna do it quick and get it over with. Cannonball! [jumps up out of the water. He's now a real pink starfish, missing his pants, on a stick] Hey, I lost my trunks! Hi, SpongeBob!
",2
3170,SpongeBob,32," All right, Pat, you made it! Come on, Mr. Krabs! Up here!
",2
3171,Mr. Krabs,32," All ashore, that's going to shore, Mr. Squidward! Land ho! [runs up. he is a red rubber toy crab on a stick]
",2
3172,SpongeBob,32," Looking good, Mr. Krabs!
",2
3173,Patrick,32," Yeah! Yeah! Woohoo!
",2
3174,SpongeBob,32," Come on, Squidward, you're missing all the dry. Come on, Squidward!
",2
3175,"SpongeBob, Patrick and Mr. Krabs",32," [chanting] Squidward! Squidward! Squidward! Squidward!
",2
3176,Squidward,32," Well, I'll do it. But I won't like it. [walks up. he's a puppet squid with his eyes and big nose. [all stop chanting] ...What?
",2
3177,SpongeBob,32," Well, here we are. [all four are walking on the island]
",2
3178,Squidward,32," This is pretty easy.
",2
3179,Patrick,32," I may keep a second rock up here.
",2
3180,Mr. Krabs,32," Once you get your land legs it's not so bad!
",2
3181,SpongeBob,32," We're the masters of land and sea!
",2
3182,SpongeBob,32," [a string puppet seagull lands in front of them] Hey, a local. Hi, we're from underwater. Do you know Sandy Cheeks? [seagull looks at screen]
",2
3183,Sandy,32," 3, 2, 1. Well, tan my fur. They made it! Better congratulate them. [walks onto the island. She's now a real plush squirrel toy with a small, round plastic helmet on her head] SpongeBob! Patrick? Hmm, where'd those critters get to? [sees the seagulls attacking all four of them] Holy guacamole! You can't eat my friends, you rats with wings! Hiyah! [attacks the birds and feathers start flying. All five sink back down to the seabed, with Squidward upside-down.]
",2
3184,SpongeBob,32," Uh, thanks for saving us, Sandy.
",2
3185,Sandy,32," You know, everyone's best at something.
",2
3186,SpongeBob,32," But no one's best at everything. Sorry I made you take off your helmet, Sandy.
",2
3187,Sandy,32," Sorry I made you go up on dry land, SpongeBob.
",2
3188,Mr. Krabs,32," Three cheers for feeling sorry for ourselves! Hip hip!
",2
3189,All,32," Hooray!
",2
3190,Mr. Krabs,32," Hip hip!
",2
3191,All,32," Hooray!
",2
3192,Mr. Krabs,32," Hip hip!
",2
3193,Seagulls,32, [lying on island with their feathers missing] Hooray.,2
3194,"
Movies


The SpongeBob SquarePants Movie


The SpongeBob Movie",33," Sponge Out of Water


SpongeBob SquarePants 3


",2
3195,"
The SpongeBob Movie",33," Sponge Out of Water
",2
3196,"
Specials


Plankton's Special Sinister Commentary


Square Roots",33," The Story of SpongeBob SquarePants


How to Make SpongeBob SquarePants


Episode-based specials ⇉


",2
3197,"
Square Roots",33," The Story of SpongeBob SquarePants
",2
3198,"
SpongeBob SquarePants 4-D",33," Ride
",2
3199,"
SpongeBob SquarePants 4-D",33," The Great Jelly Rescue!
",2
3200,Narrator,33," And now, it's time for SpongeBob's You Wish Spectacular Special.
",2
3201,Pirates,33," Hooray!
",2
3202,Narrator,33," And now the host of You Wish. He's got puffy and better loons then Captain Kidd, and fuzzier facial hair then Black Beard. He's America's favorite Pirate, Patchy of Encino.
",2
3203,Patchy,33," Ahoy, fellow fanatics! Welcome to me quarters. Why don't come on back on the galley, I'm cooking up a little treat for you today. It's call-in-and-vote time. You get to choose how our cartoon ends today, via the phone, or the Internet if your technologically inclined. Now this cartoon is different from most cartoons in that-
",2
3204,Potty,33," Bawk! In what way?
",2
3205,Patchy,33," Well, If it isn't my less-than-amusing sidekick, Potty the Parrot. Potty, say hello to the nice people.
",2
3206,Potty,33," Help! I'm being held here against my will-- Help!
",2
3207,Patchy,33," Arrrrrrrrrrrrrrrrrrrrrgh... Oh, Potty come back! Potty? Potty? Were'd you go? Potty, you in here, buddy?
",2
3208,Potty,33," [laughs and squawking] Ha, Ha, Ha, Ha, Ha, Ha, Ha.
",2
3209,Patchy,33," Get me out of here, you scurvy bird! [The cannon blasts Patchy out and Patchy screams; he lands in a neighboring house which sinks like a boat. Patchy returns, still smoking from the cannon blast] Now, what was I saying? Now this cartoon ain't like most of your ""land-lobbing cartoons"". This cartoon has not one, not two, but three different endings! So, when I tell you to call the number their that's scrolling at the bottom of the screen... [""1-800-624-4094 or go to Nick.com"" appears on the bottom of the screen (in the First 100 Episodes version it says ""Yikes matey! Original 800 number as aired has been retired to Davy Jones locker!"" instead). Phone starts ringing. Patchy picks up phone] No, not now! Don't call 'till I tell you to! Roll the cartoon! Now, remember to vote at the end because- [More phones start to ring] Your not gonna make this easy are ya. Quiet! Vast their! Be laze that ringing! Stop! Its driving me mad!
",2
3210,SpongeBob,33," [eating Kelp-O cereal] Mmm, Kelp-O! With one of eight essential prizes inside! [checks in the cereal box but then a giant anchor comes crashing through SpongeBob's house] Holy shrimp! [runs out to Squidward] Squidward! The sky had a baby from my cereal box! Squidward! [Squidward pokes his head through his window] Squidward! The sky had a baby!
",2
3211,Squidward,33," That's not a baby! That's a giant anchor! Now go away! [Patrick comes over]
",2
3212,Patrick,33," Hey, SpongeBob! The sky had a baby!
",2
3213,SpongeBob,33," I know! What do you think we should name it?
",2
3214,Patrick,33," How about...
",2
3215,Squidward,33," Why don't you two go climb its anchor rope? I'm sure it goes somewhere far away! [Anchor crashes into Squidward's house] Now look what you've done!
",2
3216,SpongeBob,33," We didn't do it, Squidward. Our hands are clean! [SpongeBob and Patrick show their spotless hands]
",2
3217,Patrick,33," Clean...
",2
3218,Squidward,33," [on top of his house] Well, I'm gonna get to the bottom of this thing.
",2
3219,SpongeBob,33," Wouldn't that be the top? [Squidward starts to climb rope]
",2
3220,SpongeBob,33," Squid, wait! Wait!
",2
3221,Patrick,33," Squidward! [SpongeBob and Patrick start climbing rope also]
",2
3222,Narrator,33," A few inches later...
",2
3223,SpongeBob,33," [points up] Ship!
",2
3224,Patrick,33," SpongeBob, how long are you gonna stay in your little fantasy world?
",2
3225,SpongeBob,33," No, look, a giant ship!
",2
3226,Squidward,33," Great! Let's go! Now I can finally give this anchor-dropper a piece of my mind.
",2
3227,SpongeBob,33," I don't know, Squidward. That ship has a spooky green glow around it.
",2
3228,Squidward,33," That's probably because its good-for-nothing owner is too lazy to clean or drop its anchors in the right place.
",2
3229,SpongeBob,33," Squid, wait! [all 3 reach the top]
",2
3230,Squidward,33," All right, who owns this crate? [notices a door that says ""owner"" and begins to knock on it] Come on out! I wanna file a complaint! [SpongeBob looks around the ship]
",2
3231,SpongeBob,33," Doesn't this place seem familiar?
",2
3232,Patrick,33," I don't know. Why?
",2
3233,SpongeBob,33," I don't know. Doesn't it just kind of ring a bell? [Squidward rings the doorbell]
",2
3234,Patrick,33," Yes!
",2
3235,SpongeBob,33," I know who owns this boat but I just can't place the name. [SpongeBob walks by a barrel that says ""property of the Flying Dutchman""]
",2
3236,Flying Dutchman,33," Rawr!!
",2
3237,SpongeBob,33," No, no, it's not ""rawr!""
",2
3238,Flying Dutchman,33," I am the Flying Dutchman!
",2
3239,SpongeBob,33," That's it! Squidward, this ship belongs to the Red Baron!
",2
3240,Flying Dutchman,33," Who be disturbin' the Flying Dutchman in his own lair?
",2
3241,SpongeBob,33," It's Squidward. He wants to complain to you. [Flying Dutchman gives an evil look to Squidward]
",2
3242,Squidward,33," I...no, I don't.
",2
3243,SpongeBob,33," Well, what about all that stuff about him having a dirty ship and being lazy and all? [Flying Dutchman glares angrily at Squidward]
",2
3244,Squidward,33," [laughs nervously] I never said that.
",2
3245,Flying Dutchman,33," Insultin' a man's ship be worse than insultin' his mother!
",2
3246,SpongeBob,33," No, no, wait, it was his mother you said was dirty, not his ship. [shoots fire out his nose frying up Squidward]
",2
3247,Squidward,33," [screams] Ow.
",2
3248,Flying Dutchman,33," [looks over to SpongeBob and Patrick] You're next!
",2
3249,SpongeBob and Patrick,33," [jumps off the ship] That was a close one! [land back on the ship]
",2
3250,Flying Dutchman,33," Welcome back!
",2
3251,SpongeBob,33," [he and Patrick scream and jump off the ship] That was a closer one! [land back on the ship]
",2
3252,Flying Dutchman,33," Welcome back! [SpongeBob and Patrick jump off the ship]
",2
3253,Squidward,33," Hey! How come when they act up, all they get is the welcome wagon? If you ask me, it's... [Flying Dutchman zaps Squidward while SpongeBob and Patrick land back on the ship]
",2
3254,Flying Dutchman,33," So, are you gonna try that again?
",2
3255,Patrick,33," Probably. [Flying Dutchman zaps Squidward]
",2
3256,Flying Dutchman,33," How 'bout now?
",2
3257,Patrick,33," Uhh...
",2
3258,Squidward,33," [covers Patrick's mouth with tentacle] No, no, they're not. Whew. [Flying Dutchman zaps Squidward]
",2
3259,Flying Dutchman,33," Now listen. [takes out a ""Ghost Rule Book""] Whosoever sets foot on the Flying Dutchman's ship, uninvited or otherwise, shall become members of his ghostly crew forever! [closes rule book] And, uhh [opens rule book], ever. [closes rule book]
",2
3260,Squidward,33," Will we be getting business cards?
",2
3261,Flying Dutchman,33," [zaps Squidward] Silence! You're part of my crew now, and our job is to sail around and frighten people. It'll be grueling, mind- numbing, and repetitive. Just like...daytime television.
",2
3262,Squidward,33," Now you listen here, mister. If you think I'm gonna spend more than five minutes on this dumpster, then you're crazy. I mean, look at this place. It's disgusting! [shows a green jockstrap] Whoever told you that having oil lamps next to hardwood paneling was a good idea... [Dutchman picks up Squidward] Oh, oh, now what? I suppose you're gonna show me... [Flying Dutchman unzips something in mid-air] Oh, gee, that's very nice. What is this, some kind of magic act? [Flying Dutchman tosses Squidward into the Fly of Despair. Squidward screams as he falls inside the Fly of Despair. SpongeBob and Patrick look at Squidward in a blank worried face.]
",2
3263,Flying Dutchman,33," [closes Fly of Despair] Would anyone else like to enter the ""Fly of Despair""?
",2
3264,SpongeBob,33," No! We know our place now, Mister Dutchman.
",2
3265,Patrick,33," We'll do anything you say!
",2
3266,Flying Dutchman,33," Then, for starters, you can...swab the deck! [hands them a mop and a bucket]
",2
3267,SpongeBob,33," Look, Patrick! A real, live, ghost mop!
",2
3268,Patrick,33," And I got this hat!
",2
3269,Flying Dutchman,33," Listen! We're heading down to Bikini Bottom tonight for a little haunting spree, so I want this ship to look good and scary!
",2
3270,SpongeBob,33," You mean you want it to look good...and scary. Well, I think we can probably...
",2
3271,Patrick,33," No, no, I think he means he wants it to look so good that it's scary.
",2
3272,SpongeBob,33," Or maybe that by looking so scary you forget that it doesn't look good!
",2
3273,Patrick,33," I don't get it.
",2
3274,SpongeBob,33," Look, it's easy, it simply means that...
",2
3275,Flying Dutchman,33," Never mind what it means! I just want it to look scary! That's it! You know, mold growing on the ceilings and bugs in the sink.
",2
3276,SpongeBob,33," So, you don't want it to look good?
",2
3277,Flying Dutchman,33," Get moving! [SpongeBob and Patrick start mopping]
",2
3278,SpongeBob and Patrick,33," [singing, while sweeping with the mop and bucket] A sailor's life is a wonderful life / A wonderful life for sure!
",2
3279,Flying Dutchman,33," What a night be this! Crew, howl with me so that we might set the Seven Seas ablaze with fear! [howls like a wolf]
",2
3280,SpongeBob,33," [screams]
",2
3281,Patrick,33," Leedle-leedle-leedle-lee!
",2
3282,Flying Dutchman,33," [howls like a wolf]
",2
3283,SpongeBob,33," [screams]
",2
3284,Patrick,33," Leedle-leedle-leedle-lee! [Flying Dutchman going to howl again but Patrick cuts him off] Leedle-eedle-eedle- eedle-eedle! [Flying Dutchman going to howl again but Patrick cuts him off] Leedle-eedle-eedle-eedle-eedle! [Flying Dutchman going to howl again but Patrick cuts him off] Leedle-eedle-eedle-eedle-eedle!
",2
3285,Flying Dutchman,33," Eh, that'll do. Okay, Square One, since Pink One's working the navigation, it's up to you to find our first victim. Here, use this spyglass. Now hurry up! We're burnin' moonlight!
",2
3286,SpongeBob,33," Let's see who we can find. [spins telescope on ground] Captain, there's a guy we can scare. [telescope points to a big tough guy then Flying Dutchman blows on the telescope spinning it a little to land on a little kid]
",2
3287,Billy,33," I had four biscuits, and I ate one. Then I only had three.
",2
3288,Flying Dutchman,33," Ahh, it does me heart good to see children out after dark. Pink One, take us behind those rocks.
",2
3289,Patrick,33," Moving behind the rocks! [ship moves scratches and tears up through the rocky parts of the sea]
",2
3290,SpongeBob,33," Keep going. You're good. You're good. You're good...and...stop. Don't worry, Captain, we'll buff out those scratches.
",2
3291,Flying Dutchman,33," All right, never mind it. Just jump out when I give the signal. [Flying Dutchman scares Billy from behind a rock]
",2
3292,Flying Dutchman,33," Boo! Prepare to be burdened with the haunting memory of my ghostly ghost pirates! [points to SpongeBob and Patrick who just get confuse]
",2
3293,SpongeBob,33," Was that the signal? Okay, sorry, sorry, just...just do it again.
",2
3294,Flying Dutchman,33," With the haunting memory of my ghostly ghost pirates! [SpongeBob and Patrick come out and SpongeBob does a little trick with his fingers]
",2
3295,Patrick,33," How does he do that?
",2
3296,Flying Dutchman,33," Get back on the ship.
",2
3297,SpongeBob and Patrick,33," It's still a mystery!
",2
3298,Billy,33," Those guys are dorks.
",2
3299,Flying Dutchman,33," Yes, but they're my dorks. [goes back to showing SpongeBob and Patrick steering through the rocks tearing up the ship]
",2
3300,SpongeBob,33," You're good. You're good. You're good. [Flying Dutchman goes through Bikini Bottom terrorizing citizens while SpongeBob and Patrick do stupid tricks. Later shown the ship is still getting wrecked] You're good. You're good. You're good. [Flying Dutchman goes through Bikini Bottom terrorizing citizens while SpongeBob and Patrick do stupid tricks. Later shown the ship is still getting wrecked] You're good.. You're good. You're good. [Flying Dutchman scares another citizen while SpongeBob and Patrick figure- skate in purple tights. back on the ship] Why do you think the Dutchman asked us to wait in our bunk room?
",2
3301,Patrick,33," Maybe he's gonna give us a reward!
",2
3302,SpongeBob,33," Like movie passes?
",2
3303,Patrick,33," Or an oversized coffee mug?! [both start bouncing insanely]
",2
3304,Flying Dutchman,33," I've been thinking. Stop bouncing! [both stop] This whole crew for eternity thing isn't working out. It's not really you so much as it is me.
",2
3305,SpongeBob,33," You're setting us free?
",2
3306,Flying Dutchman,33," Well, actually, I'm just gonna eat you. See you at dinner! [SpongeBob and Patrick scream]
",2
3307,Patrick,33," Wait, I have an idea!
",2
3308,SpongeBob,33," Really?! What is it?
",2
3309,Patrick,33," Let's leave!
",2
3310,SpongeBob,33," But the door is locked and the only way out is through the...perfume department. [points to a room full of perfume and customers]
",2
3311,Patrick,33," Let's do it. [they try to run through the department but get sprayed with all sorts of perfume]
",2
3312,SpongeBob,33," I always hate going in there!
",2
3313,Patrick,33," Yeah.
",2
3314,SpongeBob,33," [hears something strange] Wait! Listen! [Flying Dutchman is in his room]
",2
3315,SpongeBob,33," Never!
",2
3316,Flying Dutchman,33," Ok, then... [tries to zap SpongeBob but SpongeBob holds up the sock as protection] Give it to me!
",2
3317,SpongeBob,33," No! [Sock begins to tear]
",2
3318,Flying Dutchman,33," Wait, you're stretching out the elastic!
",2
3319,Patrick,33," It would seem we have reached an impasse.
",2
3320,Flying Dutchman,33," Pink one is right. Tell you what. You give me back the sock, and I'll give you...three wishes.
",2
3321,Patrick,33," Make it five.
",2
3322,Flying Dutchman,33," Four.
",2
3323,Patrick,33," Three. Take it or leave it.
",2
3324,Flying Dutchman,33," Ok...uhh, three. You get three wishes.
",2
3325,SpongeBob,33," Wow! Three wishes, Pat. Isn't that great?
",2
3326,Patrick,33," Wishes? I wish we had known that earlier! [clock goes backwards one minute]
",2
3327,Flying Dutchman,33," Okay, you got two wishes left. [Patrick smiles with embarrassment at an angry SpongeBob]
",2
3328,SpongeBob,33," Well, we still have two more. How exciting! I wish Squidward were here to see this! [falls through a hole in the Fly Of Despair and crashes onto his bed]
",2
3329,Squidward,33," Boy, I'm glad all that's over! [re-appears on the ship]
",2
3330,SpongeBob and Patrick,33," Squidward! You're back!
",2
3331,SpongeBob,33," Guess what? The Dutchman gave us three wishes! Patrick used the first one, and I guess I... [realizing] just used the second one.
",2
3332,Squidward,33," Well, then, the last one you owe me because you got me back into this mess!
",2
3333,Patrick,33," Wait! I think it belongs to me! [everyone starts to argue] Because I didn't really get a real wish, so why should you get a wish...
",2
3334,SpongeBob,33," Well, that's not right because... [their arguing devolves into incoherent yelling, babbling and shouting]
",2
3335,Flying Dutchman,33," That's enough! Using my mystic other-worldly powers, I shall decide who gets the last wish. [uses the eeny- meenie-minie-mo method] Eeny, meeny, miny, mo, catch a sailor by the toe, if he hollers, let him go, my mother told me to pick the very best one and...
",2
3336,Voting Guy,33," All hands! All hands! Its time to vote! Its voting time!
",2
3337,Flying Dutchman,33," [finishing eenie-meenie-minie-mo] You are it! [Stops on Patrick.]
",2
3338,SpongeBob,33," That's you, Patrick. Make your wish.
",2
3339,Patrick,33," Uhh...
",2
3340,Squidward,33," Wait, Patrick, listen. I do not particularly feel like being trapped here for all eternity. Eternity is a very long time, understand?!
",2
3341,SpongeBob,33," Patrick, you've got to think harder than you've ever thought before.
",2
3342,Patrick,33," Uhh...
",2
3343,SpongeBob,33," That's not gonna do it! Think harder!
",2
3344,Patrick,33," Uhh...
",2
3345,Squidward and SpongeBob,33," Come on! Come on, Patrick! Yeah! Put on your thinking cap!
",2
3346,Patrick,33," Uhh... [Inside Patrick's eye is a toaster that brings up some toast.] Okay! I've got it.
",2
3347,Flying Dutchman,33," Thou wish is granted.
",2
3348,Patrick,33," [Chewing on gum.] Oh, I'm sorry. Want some gum? [SpongeBob and Squidward are shocked.]
",2
3349,Squidward,33," You wished for gum?
",2
3350,Patrick,33," Well, if we're gonna be here forever, we might as well have fresh breath!
",2
3351,SpongeBob,33," Come on, mister, let us out! Don't be so mean! Don't be so fatty!
",2
3352,Patrick,33," Aaaah! Let us out!
",2
3353,Flying Dutchman,33," Ahh, minty.
",2
3354,Patchy,33," Heh heh heh. That Patrick shivers me timbers right down to my peg leg! Ha! ha! ha! You were right not to pick that one kids! Seemed like a lot of nonsense to me! Molarchy! Oh well, let's take a look at the other loser! Heh heh heh! [An image of Squidward is shown, with a skull in front of him.] It appears you didn't vote for Squidward. I don't blame you, I wouldn't have either! But, let's see what would happen if the Old Dutchman's Eeny-Minie-Mo finger landed on Squidward!
",2
3355,Flying Dutchman,33," [finishing eenie-meenie-minie-mo] You are it! [Stops on Squidward]
",2
3356,SpongeBob,33," Squidward, you get a wish! A great big wish!
",2
3357,Squidward,33," That's right! And you know what I wish?
",2
3358,Patrick,33," No!
",2
3359,Squidward,33," I wish that I had never met you two barnacle-heads before in my entire life!
",2
3360,Flying Dutchman,33," So be it.
",2
3361,SpongeBob,33," Hi there, I don't believe we've met. My name is SpongeBob, and this is my associate Patrick.
",2
3362,Patrick,33," Hi.
",2
3363,Squidward,33," That's not what I meant!
",2
3364,Flying Dutchman,33," Well, now that introductions are out of the way, it's time for dinner [Flying Dutchman appears with a big belly]
",2
3365,SpongeBob,33," And what did you say your name was?
",2
3366,Squidward,33," I'm Squidward. I'm your neighbor.
",2
3367,SpongeBob,33," Oh, nice to meet you, Squid-ward. [Tries to pronounce it right] We'll have plenty of time to get to know each other, I guess. [Laughs.]
",2
3368,Patchy,33," And now, the moment you've all been waiting for, So get ready to blow milk out of your nose because its time to announce, the winner! The envelope please Potty. Thank you, my fine feathered assistant. Well what do you know? The winner is, SpongeBob! [A flag is shown with SpongeBob with the words ""Winner"" on the left side, Patchy blows his nose] Hey, Potty, do you smell something? Oh, Potty! That fuse in your head! I told you we're not doing that stunt!
",2
3369,Potty,33," Brawk, I didn't get the memo! Brawk! [Potty blows up along with Patchy; Patchy coughs up a feather and recovers from the blast]
",2
3370,Patchy,33," And now, the most requested ending! Hooray! [Potty collapses to the floor]
",2
